,Wind,Solar
101,0.196948105,0
102,0.183111586,0
103,0.176366632,0.000631148
104,0.170553653,0.020145499
105,0.128172333,0.153405826
106,0.053846071,0.329576976
107,0.05898179,0.476151445
108,0.057080262,0.580194451
109,0.070275614,0.636765296
110,0.089853219,0.651921559
111,0.133339255,0.62067957
112,0.168030369,0.548129483
113,0.199767421,0.427511856
114,0.226919623,0.268834095
115,0.235388839,0.097560909
116,0.258378762,0.002940769
117,0.296686203,0
118,0.291041149,0
119,0.263932587,0
120,0.261314623,0
121,0.276921665,0
122,0.248999679,0
123,0.258106072,0
124,0.259118624,0
125,0.271010619,0
126,0.268870865,0
127,0.257072118,0.000498891
128,0.254741481,0.018555849
129,0.188224289,0.151274897
130,0.087844624,0.327885394
131,0.094654972,0.477414373
132,0.094810052,0.584508647
133,0.099408951,0.642359484
134,0.154551077,0.646745476
135,0.189526148,0.620337335
136,0.223562866,0.543563649
137,0.266163625,0.418816782
138,0.286701382,0.25751321
139,0.305068306,0.094113589
140,0.306925994,0.002736849
141,0.326680453,0
142,0.342374304,0
143,0.322147444,0
144,0.330843412,0
145,0.349518455,0
146,0.336572864,0
147,0.340959994,0
148,0.347471395,0
149,0.33730483,0
150,0.309565439,0
151,0.291399065,0.000470178
152,0.271621009,0.018611849
153,0.178029328,0.145967411
154,0.104269878,0.315957828
155,0.115724877,0.467688897
156,0.112266369,0.573639669
157,0.126631898,0.634258627
158,0.178824118,0.646145009
159,0.209566718,0.610706841
160,0.223664555,0.530055219
161,0.234592522,0.401190092
162,0.24160324,0.246102723
163,0.252927141,0.090434943
164,0.291316118,0.003095016
165,0.314711045,0
166,0.355139963,0
167,0.352358045,0
168,0.350512938,0
169,0.354101863,0
170,0.320944436,0
171,0.329227565,0
172,0.321671321,0
173,0.314456618,0
174,0.294632521,0
175,0.280760326,0.000456397
176,0.264290153,0.019027873
177,0.183626921,0.146759725
178,0.138956771,0.32118393
179,0.151783561,0.470582078
180,0.131168424,0.57276013
181,0.117111902,0.625220005
182,0.134574746,0.632995659
183,0.166647978,0.607083734
184,0.182124084,0.523449031
185,0.189694653,0.403798354
186,0.216642185,0.251890428
187,0.239901075,0.090582209
188,0.287832023,0.003333693
189,0.345655739,0
190,0.37151778,0
191,0.394418585,0
192,0.394305365,0
193,0.3761899,0
194,0.355346505,0
195,0.354133725,0
196,0.332246701,0
197,0.316564257,0
198,0.274376938,0
199,0.256853707,0.000656241
200,0.249003502,0.020144098
201,0.172526558,0.147460003
202,0.125153516,0.308392417
203,0.137611743,0.459369961
204,0.139131638,0.558783732
205,0.133883179,0.613658162
206,0.085952325,0.621629588
207,0.121876329,0.592446473
208,0.164481037,0.521783774
209,0.197938088,0.396558586
210,0.232976965,0.250310149
211,0.246941369,0.091952361
212,0.29199204,0.003722412
213,0.334238141,0
214,0.361779549,0
215,0.344081066,0
216,0.341545485,0
217,0.308712679,0
218,0.270274109,0
219,0.272018163,0
220,0.2669908,0
221,0.254349731,0
222,0.222172701,0
223,0.208354728,0.000553137
224,0.180872036,0.0210053
225,0.123769385,0.15218302
226,0.087785569,0.322770583
227,0.085932161,0.473009144
228,0.08471838,0.58625239
229,0.085136241,0.643766709
230,0.07488615,0.659957392
231,0.105439815,0.625315366
232,0.134951103,0.543284197
233,0.16644286,0.421278685
234,0.194591632,0.261668866
235,0.211596858,0.09512735
236,0.207124848,0.003813624
237,0.238822874,0
238,0.262036933,0
239,0.25436098,0
240,0.251144565,0
241,0.244928664,0
242,0.244231777,0
243,0.232229411,0
244,0.216913482,0
245,0.203832296,0
246,0.195147804,0
247,0.177220211,0.000815882
248,0.177068034,0.024820004
249,0.136036686,0.163254861
250,0.076771778,0.341184255
251,0.07290805,0.487793683
252,0.072121384,0.591710877
253,0.091718411,0.650640562
254,0.077439239,0.66443382
255,0.09979509,0.630628846
256,0.13606646,0.547385469
257,0.161197183,0.42685867
258,0.193662488,0.264678438
259,0.220943423,0.097102645
260,0.235112452,0.003999018
261,0.255585338,0
262,0.263711852,0
263,0.273511144,0
264,0.256272192,0
265,0.240249104,0
266,0.245373664,0
267,0.247361068,0
268,0.249481463,0
269,0.260744543,0
270,0.250608762,0
271,0.244980581,0.000881434
272,0.216207903,0.025884233
273,0.155313329,0.159669834
274,0.079476797,0.336134684
275,0.086214431,0.48334133
276,0.082743135,0.585475096
277,0.07484658,0.641673317
278,0.103505724,0.650273246
279,0.122959055,0.621345249
280,0.134747323,0.534271081
281,0.180314526,0.405526943
282,0.168412659,0.251582922
283,0.21207569,0.096177346
284,0.223592602,0.003703695
285,0.282497988,0
286,0.292923765,0
287,0.290715112,0
288,0.273264914,0
289,0.270866463,0
290,0.2703532,0
291,0.279054945,0
292,0.270241881,0
293,0.258835922,0
294,0.25586845,0
295,0.249473655,0.000923872
296,0.236651725,0.025717363
297,0.150930107,0.158844877
298,0.091123767,0.32977996
299,0.093630133,0.476290791
300,0.099772185,0.575397743
301,0.102748425,0.6341194
